	pielou_evenness
ERR1842997	0.5703415293979774
ERR1842998	0.6406296218276056
ERR1842999	0.5876135547634268
ERR1843000	0.6334468034881822
ERR1843001	0.5821895748257815
ERR1843002	0.6788183084961416
ERR1843003	0.6556302554828602
ERR1843004	0.6268467686083274
ERR1843005	0.6196182718692069
ERR1843006	0.5769134303256773
ERR1843007	0.6332283850527565
ERR1843008	0.6094344363885639
ERR1843009	0.6158872197868018
ERR1843010	0.5315882988125251
ERR1843011	0.5466840687996829
ERR1843012	0.6112104094083134
ERR1843013	0.6097415041114603
ERR1843014	0.6156270013670716
ERR1843015	0.5145529711869945
ERR1843016	0.551371166057888
ERR1843017	0.4928753542544241
ERR1843018	0.5202493651083886
ERR1843019	0.5476213406127299
ERR1843020	0.49130284728068413
ERR1843021	0.4521857455585571
ERR1843022	0.48633013036417305
ERR1843023	0.47875532743316546
