#SampleID	faith_pd
ERR1842997	8.380185352484339
ERR1842998	6.212118207460241
ERR1842999	11.14628335222172
ERR1843000	11.80436469960403
ERR1843001	6.765892577629153
ERR1843002	8.962782623367865
ERR1843003	11.68607898688507
ERR1843004	7.948655281532524
ERR1843005	7.231716757161156
ERR1843006	10.2707920698265
ERR1843007	9.534640668325281
ERR1843008	7.271581091730488
ERR1843009	5.799190805516382
ERR1843010	7.570827682222028
ERR1843011	12.01055903196533
ERR1843012	11.13761648015553
ERR1843013	8.980489611445716
ERR1843014	9.854333485186164
ERR1843015	7.08669090917051
ERR1843016	8.990065409105185
ERR1843017	7.539157697937684
ERR1843018	7.180566263727663
ERR1843019	8.022711261063428
ERR1843020	7.63878876764649
ERR1843021	9.871167719267104
ERR1843022	6.607606081227656
ERR1843023	7.133019796709139
