	shannon_entropy
ERR1842997	3.5953079529048555
ERR1842998	3.686751404171397
ERR1842999	4.099944258427277
ERR1843000	3.628332902577634
ERR1843001	3.452813448959124
ERR1843002	4.538918977621072
ERR1843003	4.15659747711426
ERR1843004	3.867597549709844
ERR1843005	3.549124173460732
ERR1843006	3.4215220217739795
ERR1843007	4.234081930482635
ERR1843008	3.760164765813705
ERR1843009	3.5766756772612576
ERR1843010	3.3412462728774535
ERR1843011	3.997836608650701
ERR1843012	4.042979511938858
ERR1843013	4.033263129611691
ERR1843014	4.273999386869394
ERR1843015	3.0516785183726283
ERR1843016	3.6307584524700904
ERR1843017	3.060486527310695
ERR1843018	3.0976668502094817
ERR1843019	3.4110340417229827
ERR1843020	3.041078429945657
ERR1843021	3.0422697268053267
ERR1843022	2.8726988734091985
ERR1843023	2.8393720959650195
